row_type,field_name,record_type,record_id,document_id,total_non_empty,valid_count,invalid_count,validity,value,error
summary,provenance_metadata,chunk,,,0,0,0,,,
summary,authority_metadata,chunk,,,0,0,0,,,
summary,qdrant_point_id,chunk,,,0,0,0,,,
summary,source_chunk_id,chunk,,,0,0,0,,,
summary,pre_embedding_quality.target_chunk_index,chunk,,,0,0,0,,,
summary,quality_metadata.normalization_version,document,,,0,0,0,,,
summary,quality_metadata.numbers,document,,,0,0,0,,,
summary,quality_metadata.dates,document,,,0,0,0,,,
summary,quality_metadata.has_negation,document,,,0,0,0,,,
summary,quality_metadata.identity_trusted,document,,,0,0,0,,,
summary,quality_metadata.projection_source,document,,,0,0,0,,,
summary,quality_metadata.table_count,document,,,0,0,0,,,
summary,quality_metadata.fallback_used,document,,,0,0,0,,,
summary,quality_metadata.unrepresented_visual_count,document,,,0,0,0,,,
summary,quality_metadata.replacement_character_count,document,,,0,0,0,,,
