field_name,record_type,dimension,dimension_value,total_records,non_empty_count,valid_count,coverage,valid_coverage
quality_status,document,record_type,document,3,3,3,1.0,1.0
quality_status,document,source,documents,3,3,3,1.0,1.0
quality_status,document,version,1,2,2,2,1.0,1.0
quality_status,document,version,2,1,1,1,1.0,1.0
quality_status,document,year,2025,1,1,1,1.0,1.0
quality_status,document,year,2026,2,2,2,1.0,1.0
quality_metadata,document,all,all,3,2,2,0.666667,0.666667
quality_metadata,document,record_type,document,3,2,2,0.666667,0.666667
quality_metadata,document,source,documents,3,2,2,0.666667,0.666667
quality_metadata,document,version,1,2,1,1,0.5,0.5
quality_metadata,document,version,2,1,1,1,1.0,1.0
quality_metadata,document,year,2025,1,1,1,1.0,1.0
quality_metadata,document,year,2026,2,1,1,0.5,0.5
quality_metadata.character_count,document,all,all,3,2,2,0.666667,0.666667
quality_metadata.character_count,document,record_type,document,3,2,2,0.666667,0.666667
quality_metadata.character_count,document,source,documents,3,2,2,0.666667,0.666667
quality_metadata.character_count,document,version,1,2,1,1,0.5,0.5
quality_metadata.character_count,document,version,2,1,1,1,1.0,1.0
quality_metadata.character_count,document,year,2025,1,1,1,1.0,1.0
quality_metadata.character_count,document,year,2026,2,1,1,0.5,0.5
quality_metadata.token_count,document,all,all,3,2,2,0.666667,0.666667
quality_metadata.token_count,document,record_type,document,3,2,2,0.666667,0.666667
quality_metadata.token_count,document,source,documents,3,2,2,0.666667,0.666667
quality_metadata.token_count,document,version,1,2,1,1,0.5,0.5
quality_metadata.token_count,document,version,2,1,1,1,1.0,1.0
quality_metadata.token_count,document,year,2025,1,1,1,1.0,1.0
quality_metadata.token_count,document,year,2026,2,1,1,0.5,0.5
quality_metadata.knowledge_quality_mode,document,all,all,3,2,2,0.666667,0.666667
quality_metadata.knowledge_quality_mode,document,record_type,document,3,2,2,0.666667,0.666667
quality_metadata.knowledge_quality_mode,document,source,documents,3,2,2,0.666667,0.666667
quality_metadata.knowledge_quality_mode,document,version,1,2,1,1,0.5,0.5
quality_metadata.knowledge_quality_mode,document,version,2,1,1,1,1.0,1.0
quality_metadata.knowledge_quality_mode,document,year,2025,1,1,1,1.0,1.0
quality_metadata.knowledge_quality_mode,document,year,2026,2,1,1,0.5,0.5
metadata,chunk,all,all,4,4,4,1.0,1.0
metadata,chunk,document_type,policy,2,2,2,1.0,1.0
metadata,chunk,document_type,report,1,1,1,1.0,1.0
metadata,chunk,record_type,chunk,4,4,4,1.0,1.0
metadata,chunk,source,fixture/orphan,1,1,1,1.0,1.0
metadata,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
metadata,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
metadata,chunk,version,1,2,2,2,1.0,1.0
metadata,chunk,version,2,2,2,2,1.0,1.0
metadata,chunk,year,2026,4,4,4,1.0,1.0
chunk_index,chunk,all,all,4,4,4,1.0,1.0
chunk_index,chunk,document_type,policy,2,2,2,1.0,1.0
chunk_index,chunk,document_type,report,1,1,1,1.0,1.0
chunk_index,chunk,record_type,chunk,4,4,4,1.0,1.0
chunk_index,chunk,source,fixture/orphan,1,1,1,1.0,1.0
chunk_index,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
chunk_index,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
chunk_index,chunk,version,1,2,2,2,1.0,1.0
chunk_index,chunk,version,2,2,2,2,1.0,1.0
chunk_index,chunk,year,2026,4,4,4,1.0,1.0
content,chunk,all,all,4,4,4,1.0,1.0
content,chunk,document_type,policy,2,2,2,1.0,1.0
content,chunk,document_type,report,1,1,1,1.0,1.0
content,chunk,record_type,chunk,4,4,4,1.0,1.0
content,chunk,source,fixture/orphan,1,1,1,1.0,1.0
content,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
content,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
content,chunk,version,1,2,2,2,1.0,1.0
content,chunk,version,2,2,2,2,1.0,1.0
content,chunk,year,2026,4,4,4,1.0,1.0
token_count,chunk,all,all,4,4,4,1.0,1.0
token_count,chunk,document_type,policy,2,2,2,1.0,1.0
token_count,chunk,document_type,report,1,1,1,1.0,1.0
token_count,chunk,record_type,chunk,4,4,4,1.0,1.0
token_count,chunk,source,fixture/orphan,1,1,1,1.0,1.0
token_count,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
token_count,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
token_count,chunk,version,1,2,2,2,1.0,1.0
token_count,chunk,version,2,2,2,2,1.0,1.0
token_count,chunk,year,2026,4,4,4,1.0,1.0
character_count,chunk,all,all,4,1,1,0.25,0.25
character_count,chunk,document_type,policy,2,1,1,0.5,0.5
character_count,chunk,document_type,report,1,0,0,0.0,0.0
character_count,chunk,record_type,chunk,4,1,1,0.25,0.25
character_count,chunk,source,fixture/orphan,1,0,0,0.0,0.0
character_count,chunk,source,policy/ctp-2026,2,1,1,0.5,0.5
character_count,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
character_count,chunk,version,1,2,1,1,0.5,0.5
character_count,chunk,version,2,2,0,0,0.0,0.0
character_count,chunk,year,2026,4,1,1,0.25,0.25
page_number,chunk,all,all,4,4,3,1.0,0.75
page_number,chunk,document_type,policy,2,2,2,1.0,1.0
page_number,chunk,document_type,report,1,1,1,1.0,1.0
page_number,chunk,record_type,chunk,4,4,3,1.0,0.75
page_number,chunk,source,fixture/orphan,1,1,0,1.0,0.0
page_number,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
page_number,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
page_number,chunk,version,1,2,2,1,1.0,0.5
page_number,chunk,version,2,2,2,2,1.0,1.0
page_number,chunk,year,2026,4,4,3,1.0,0.75
section_title,chunk,all,all,4,3,3,0.75,0.75
section_title,chunk,document_type,policy,2,2,2,1.0,1.0
section_title,chunk,document_type,report,1,1,1,1.0,1.0
section_title,chunk,record_type,chunk,4,3,3,0.75,0.75
section_title,chunk,source,fixture/orphan,1,0,0,0.0,0.0
section_title,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
section_title,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
section_title,chunk,version,1,2,1,1,0.5,0.5
section_title,chunk,version,2,2,2,2,1.0,1.0
section_title,chunk,year,2026,4,3,3,0.75,0.75
section_id,chunk,all,all,4,1,1,0.25,0.25
section_id,chunk,document_type,policy,2,1,1,0.5,0.5
section_id,chunk,document_type,report,1,0,0,0.0,0.0
section_id,chunk,record_type,chunk,4,1,1,0.25,0.25
section_id,chunk,source,fixture/orphan,1,0,0,0.0,0.0
section_id,chunk,source,policy/ctp-2026,2,1,1,0.5,0.5
section_id,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
section_id,chunk,version,1,2,1,1,0.5,0.5
section_id,chunk,version,2,2,0,0,0.0,0.0
section_id,chunk,year,2026,4,1,1,0.25,0.25
offset_start,chunk,all,all,4,0,0,0.0,0.0
offset_start,chunk,document_type,policy,2,0,0,0.0,0.0
offset_start,chunk,document_type,report,1,0,0,0.0,0.0
offset_start,chunk,record_type,chunk,4,0,0,0.0,0.0
offset_start,chunk,source,fixture/orphan,1,0,0,0.0,0.0
offset_start,chunk,source,policy/ctp-2026,2,0,0,0.0,0.0
offset_start,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
offset_start,chunk,version,1,2,0,0,0.0,0.0
offset_start,chunk,version,2,2,0,0,0.0,0.0
offset_start,chunk,year,2026,4,0,0,0.0,0.0
offset_end,chunk,all,all,4,0,0,0.0,0.0
offset_end,chunk,document_type,policy,2,0,0,0.0,0.0
offset_end,chunk,document_type,report,1,0,0,0.0,0.0
offset_end,chunk,record_type,chunk,4,0,0,0.0,0.0
offset_end,chunk,source,fixture/orphan,1,0,0,0.0,0.0
offset_end,chunk,source,policy/ctp-2026,2,0,0,0.0,0.0
offset_end,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
offset_end,chunk,version,1,2,0,0,0.0,0.0
offset_end,chunk,version,2,2,0,0,0.0,0.0
offset_end,chunk,year,2026,4,0,0,0.0,0.0
parent_chunk_id,chunk,all,all,4,0,0,0.0,0.0
parent_chunk_id,chunk,document_type,policy,2,0,0,0.0,0.0
parent_chunk_id,chunk,document_type,report,1,0,0,0.0,0.0
parent_chunk_id,chunk,record_type,chunk,4,0,0,0.0,0.0
parent_chunk_id,chunk,source,fixture/orphan,1,0,0,0.0,0.0
parent_chunk_id,chunk,source,policy/ctp-2026,2,0,0,0.0,0.0
parent_chunk_id,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
parent_chunk_id,chunk,version,1,2,0,0,0.0,0.0
parent_chunk_id,chunk,version,2,2,0,0,0.0,0.0
parent_chunk_id,chunk,year,2026,4,0,0,0.0,0.0
children,chunk,all,all,4,0,0,0.0,0.0
children,chunk,document_type,policy,2,0,0,0.0,0.0
children,chunk,document_type,report,1,0,0,0.0,0.0
children,chunk,record_type,chunk,4,0,0,0.0,0.0
children,chunk,source,fixture/orphan,1,0,0,0.0,0.0
children,chunk,source,policy/ctp-2026,2,0,0,0.0,0.0
children,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
children,chunk,version,1,2,0,0,0.0,0.0
children,chunk,version,2,2,0,0,0.0,0.0
children,chunk,year,2026,4,0,0,0.0,0.0
strategy,chunk,all,all,4,4,4,1.0,1.0
strategy,chunk,document_type,policy,2,2,2,1.0,1.0
strategy,chunk,document_type,report,1,1,1,1.0,1.0
strategy,chunk,record_type,chunk,4,4,4,1.0,1.0
strategy,chunk,source,fixture/orphan,1,1,1,1.0,1.0
strategy,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
strategy,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
strategy,chunk,version,1,2,2,2,1.0,1.0
strategy,chunk,version,2,2,2,2,1.0,1.0
strategy,chunk,year,2026,4,4,4,1.0,1.0
strategy_version,chunk,all,all,4,4,4,1.0,1.0
strategy_version,chunk,document_type,policy,2,2,2,1.0,1.0
strategy_version,chunk,document_type,report,1,1,1,1.0,1.0
strategy_version,chunk,record_type,chunk,4,4,4,1.0,1.0
strategy_version,chunk,source,fixture/orphan,1,1,1,1.0,1.0
strategy_version,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
strategy_version,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
strategy_version,chunk,version,1,2,2,2,1.0,1.0
strategy_version,chunk,version,2,2,2,2,1.0,1.0
strategy_version,chunk,year,2026,4,4,4,1.0,1.0
chunk_version,chunk,all,all,4,0,0,0.0,0.0
chunk_version,chunk,document_type,policy,2,0,0,0.0,0.0
chunk_version,chunk,document_type,report,1,0,0,0.0,0.0
chunk_version,chunk,record_type,chunk,4,0,0,0.0,0.0
chunk_version,chunk,source,fixture/orphan,1,0,0,0.0,0.0
chunk_version,chunk,source,policy/ctp-2026,2,0,0,0.0,0.0
chunk_version,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
chunk_version,chunk,version,1,2,0,0,0.0,0.0
chunk_version,chunk,version,2,2,0,0,0.0,0.0
chunk_version,chunk,year,2026,4,0,0,0.0,0.0
metadata_version,chunk,all,all,4,0,0,0.0,0.0
metadata_version,chunk,document_type,policy,2,0,0,0.0,0.0
metadata_version,chunk,document_type,report,1,0,0,0.0,0.0
metadata_version,chunk,record_type,chunk,4,0,0,0.0,0.0
metadata_version,chunk,source,fixture/orphan,1,0,0,0.0,0.0
metadata_version,chunk,source,policy/ctp-2026,2,0,0,0.0,0.0
metadata_version,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
metadata_version,chunk,version,1,2,0,0,0.0,0.0
metadata_version,chunk,version,2,2,0,0,0.0,0.0
metadata_version,chunk,year,2026,4,0,0,0.0,0.0
config_checksum,chunk,all,all,4,4,4,1.0,1.0
config_checksum,chunk,document_type,policy,2,2,2,1.0,1.0
config_checksum,chunk,document_type,report,1,1,1,1.0,1.0
config_checksum,chunk,record_type,chunk,4,4,4,1.0,1.0
config_checksum,chunk,source,fixture/orphan,1,1,1,1.0,1.0
config_checksum,chunk,source,policy/ctp-2026,2,2,2,1.0,1.0
config_checksum,chunk,source,policy/ctp-2026-v2,1,1,1,1.0,1.0
config_checksum,chunk,version,1,2,2,2,1.0,1.0
config_checksum,chunk,version,2,2,2,2,1.0,1.0
config_checksum,chunk,year,2026,4,4,4,1.0,1.0
content_checksum,chunk,all,all,4,1,1,0.25,0.25
content_checksum,chunk,document_type,policy,2,1,1,0.5,0.5
content_checksum,chunk,document_type,report,1,0,0,0.0,0.0
content_checksum,chunk,record_type,chunk,4,1,1,0.25,0.25
content_checksum,chunk,source,fixture/orphan,1,0,0,0.0,0.0
content_checksum,chunk,source,policy/ctp-2026,2,1,1,0.5,0.5
content_checksum,chunk,source,policy/ctp-2026-v2,1,0,0,0.0,0.0
content_checksum,chunk,version,1,2,1,1,0.5,0.5
content_checksum,chunk,version,2,2,0,0,0.0,0.0
content_checksum,chunk,year,2026,4,1,1,0.25,0.25
source_block_ids,chunk,all,all,4,1,1,0.25,0.25
source_block_ids,chunk,document_type,policy,2,1,1,0.5,0.5
source_block_ids,chunk,document_type,report,1,0,0,0.0,0.0
