test_id,source_file,primary_slice,target_type,expected_page,status,term_coverage,relevant_chunk_count,relevant_chunk_ids,relevant_group_count,protected_chunk_count,missing_terms
real_content_only_11,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:32:bad9d6a7bc21,1,0,
real_content_only_12,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:35:fc3f63a6e7d9,1,0,
real_content_only_13,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:37:948fc77bdcf0,1,0,
real_content_only_14,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:39:7c74de4c0bb4,1,0,
real_content_only_15,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:42:398673fe5ce2,1,0,
real_content_only_16,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:44:8efbbfcf29a4,1,0,
real_content_only_17,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:46:dce482ea79e3,1,0,
real_content_only_18,Vinhomes_Tien_Ich_Toan_Quoc.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:48:0a7c9edc3178,1,0,
real_content_only_19,Vinhomes_Gia_Nha_2023.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-cc979b630c4f8de1:v1:structure_recursive:2.0:3e5532914830e3c8:10:96b368286cda,1,0,
real_content_only_20,Vinhomes_Gia_Nha_2024.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-d86ef3c408aa4a3b:v1:structure_recursive:2.0:3e5532914830e3c8:10:016348085087,1,0,
real_content_only_21,Vinhomes_Gia_Nha_2025.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4fe5fe94a08c579f:v1:structure_recursive:2.0:3e5532914830e3c8:10:7cf5ebbbc10c,1,0,
real_content_only_22,Vinhomes_Gia_Nha_2026.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-a068186ddde48b7a:v1:structure_recursive:2.0:3e5532914830e3c8:10:5238e81375d9,1,0,
real_content_only_23,Vinhomes_Gia_Nha_2023.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-cc979b630c4f8de1:v1:structure_recursive:2.0:3e5532914830e3c8:5:4be336165b7f,1,0,
real_content_only_24,Vinhomes_Gia_Nha_2024.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-d86ef3c408aa4a3b:v1:structure_recursive:2.0:3e5532914830e3c8:5:d9ae61ce87d7,1,0,
real_content_only_25,Vinhomes_Gia_Nha_2025.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-4fe5fe94a08c579f:v1:structure_recursive:2.0:3e5532914830e3c8:5:d693755b2074,1,0,
real_content_only_26,Vinhomes_Gia_Nha_2026.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-a068186ddde48b7a:v1:structure_recursive:2.0:3e5532914830e3c8:5:4d7a94480514,1,0,
real_content_only_27,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:12:e39d87b170f0,1,0,
real_content_only_28,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:13:ad08d6fa43d5,1,0,
real_content_only_29,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:14:f6fb05561df3,1,0,
real_content_only_30,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,content_only,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:15:63ea8a0913fd,1,0,
real_explicit_filter_01,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:12:58ec764084f1,1,0,
real_explicit_filter_02,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:14:ca7b4845488e,1,0,
real_explicit_filter_03,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:16:b200591f4f5f,1,0,
real_explicit_filter_04,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:18:c29e420469e5,1,0,
real_explicit_filter_05,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:20:10367715795d,1,0,
real_explicit_filter_06,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:22:02d56c3bf08a,1,0,
real_explicit_filter_07,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:24:9dfa702397f6,1,0,
real_explicit_filter_08,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:26:1158151c481d,1,0,
real_explicit_filter_09,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:28:4f9988db33ce,1,0,
real_explicit_filter_10,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:30:e954cfc26432,1,0,
real_explicit_filter_11,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:32:bad9d6a7bc21,1,0,
real_explicit_filter_12,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:35:fc3f63a6e7d9,1,0,
real_explicit_filter_13,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:37:948fc77bdcf0,1,0,
real_explicit_filter_14,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:39:7c74de4c0bb4,1,0,
real_explicit_filter_15,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:42:398673fe5ce2,1,0,
real_explicit_filter_16,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:44:8efbbfcf29a4,1,0,
real_explicit_filter_17,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:46:dce482ea79e3,1,0,
real_explicit_filter_18,Vinhomes_Tien_Ich_Toan_Quoc.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:48:0a7c9edc3178,1,0,
real_explicit_filter_19,Vinhomes_Gia_Nha_2023.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-cc979b630c4f8de1:v1:structure_recursive:2.0:3e5532914830e3c8:10:96b368286cda,1,0,
real_explicit_filter_20,Vinhomes_Gia_Nha_2024.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-d86ef3c408aa4a3b:v1:structure_recursive:2.0:3e5532914830e3c8:10:016348085087,1,0,
real_explicit_filter_21,Vinhomes_Gia_Nha_2025.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4fe5fe94a08c579f:v1:structure_recursive:2.0:3e5532914830e3c8:10:7cf5ebbbc10c,1,0,
real_explicit_filter_22,Vinhomes_Gia_Nha_2026.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-a068186ddde48b7a:v1:structure_recursive:2.0:3e5532914830e3c8:10:5238e81375d9,1,0,
real_explicit_filter_23,Vinhomes_Gia_Nha_2023.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-cc979b630c4f8de1:v1:structure_recursive:2.0:3e5532914830e3c8:10:96b368286cda,1,0,
real_explicit_filter_24,Vinhomes_Gia_Nha_2024.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-d86ef3c408aa4a3b:v1:structure_recursive:2.0:3e5532914830e3c8:10:016348085087,1,0,
real_explicit_filter_25,Vinhomes_Gia_Nha_2025.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4fe5fe94a08c579f:v1:structure_recursive:2.0:3e5532914830e3c8:10:7cf5ebbbc10c,1,0,
real_explicit_filter_26,Vinhomes_Gia_Nha_2026.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-a068186ddde48b7a:v1:structure_recursive:2.0:3e5532914830e3c8:10:5238e81375d9,1,0,
real_explicit_filter_27,Vinhomes_Gia_Nha_2023.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-cc979b630c4f8de1:v1:structure_recursive:2.0:3e5532914830e3c8:10:96b368286cda,1,0,
real_explicit_filter_28,Vinhomes_Gia_Nha_2024.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-d86ef3c408aa4a3b:v1:structure_recursive:2.0:3e5532914830e3c8:10:016348085087,1,0,
real_explicit_filter_29,Vinhomes_Gia_Nha_2025.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4fe5fe94a08c579f:v1:structure_recursive:2.0:3e5532914830e3c8:10:7cf5ebbbc10c,1,0,
real_explicit_filter_30,Vinhomes_Gia_Nha_2026.docx,explicit_filter,single,,explicit_chunk_ids,1.0,1,eval-a068186ddde48b7a:v1:structure_recursive:2.0:3e5532914830e3c8:10:5238e81375d9,1,0,
real_implicit_filter_01,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:12:58ec764084f1,1,0,
real_implicit_filter_02,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:14:ca7b4845488e,1,0,
real_implicit_filter_03,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:16:b200591f4f5f,1,0,
real_implicit_filter_04,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:18:c29e420469e5,1,0,
real_implicit_filter_05,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:20:10367715795d,1,0,
real_implicit_filter_06,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:22:02d56c3bf08a,1,0,
real_implicit_filter_07,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:24:9dfa702397f6,1,0,
real_implicit_filter_08,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:26:1158151c481d,1,0,
real_implicit_filter_09,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:28:4f9988db33ce,1,0,
real_implicit_filter_10,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:30:e954cfc26432,1,0,
real_implicit_filter_11,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:32:bad9d6a7bc21,1,0,
real_implicit_filter_12,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:35:fc3f63a6e7d9,1,0,
real_implicit_filter_13,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:37:948fc77bdcf0,1,0,
real_implicit_filter_14,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:39:7c74de4c0bb4,1,0,
real_implicit_filter_15,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:42:398673fe5ce2,1,0,
real_implicit_filter_16,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:44:8efbbfcf29a4,1,0,
real_implicit_filter_17,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:46:dce482ea79e3,1,0,
real_implicit_filter_18,Vinhomes_Tien_Ich_Toan_Quoc.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:48:0a7c9edc3178,1,0,
real_implicit_filter_19,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:4:a926ae5db545,1,0,
real_implicit_filter_20,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:5:2d4b63508f14,1,0,
real_implicit_filter_21,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:7:94ae906bb026,1,0,
real_implicit_filter_22,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:8:7bda7024187e,1,0,
real_implicit_filter_23,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:10:3374e4c5b6c5,1,0,
real_implicit_filter_24,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:12:e39d87b170f0,1,0,
real_implicit_filter_25,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:13:ad08d6fa43d5,1,0,
real_implicit_filter_26,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:14:f6fb05561df3,1,0,
real_implicit_filter_27,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:15:63ea8a0913fd,1,0,
real_implicit_filter_28,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:17:3f9ca0e9fa37,1,0,
real_implicit_filter_29,Vinhomes_Gia_Nha_2026.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-a068186ddde48b7a:v1:structure_recursive:2.0:3e5532914830e3c8:10:5238e81375d9,1,0,
real_implicit_filter_30,Vinhomes_Gia_Nha_2026.docx,implicit_filter,single,,explicit_chunk_ids,1.0,1,eval-a068186ddde48b7a:v1:structure_recursive:2.0:3e5532914830e3c8:10:5238e81375d9,1,0,
real_cross_document_confusion_01,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:12:58ec764084f1,1,0,
real_cross_document_confusion_02,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:14:ca7b4845488e,1,0,
real_cross_document_confusion_03,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:16:b200591f4f5f,1,0,
real_cross_document_confusion_04,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:18:c29e420469e5,1,0,
real_cross_document_confusion_05,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:20:10367715795d,1,0,
real_cross_document_confusion_06,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:22:02d56c3bf08a,1,0,
real_cross_document_confusion_07,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:24:9dfa702397f6,1,0,
real_cross_document_confusion_08,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:26:1158151c481d,1,0,
real_cross_document_confusion_09,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:28:4f9988db33ce,1,0,
real_cross_document_confusion_10,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:30:e954cfc26432,1,0,
real_cross_document_confusion_11,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:32:bad9d6a7bc21,1,0,
real_cross_document_confusion_12,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:35:fc3f63a6e7d9,1,0,
real_cross_document_confusion_13,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:37:948fc77bdcf0,1,0,
real_cross_document_confusion_14,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:39:7c74de4c0bb4,1,0,
real_cross_document_confusion_15,Vinhomes_Tien_Ich_Toan_Quoc.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-4edcf5eaa4d4d1c3:v1:structure_recursive:2.0:3e5532914830e3c8:42:398673fe5ce2,1,0,
real_cross_document_confusion_16,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:0:8e4f150e83c1,1,0,
real_cross_document_confusion_17,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:2:55ec88d95801,1,0,
real_cross_document_confusion_18,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:3:eae4b9969468,1,0,
real_cross_document_confusion_19,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:4:a926ae5db545,1,0,
real_cross_document_confusion_20,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:5:2d4b63508f14,1,0,
real_cross_document_confusion_21,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:7:94ae906bb026,1,0,
real_cross_document_confusion_22,Vinhomes_Ke_Hoach_Xay_Dung_Trien_Khai.docx,cross_document_confusion,single,,explicit_chunk_ids,1.0,1,eval-55e0dc1c6e927b9f:v1:structure_recursive:2.0:3e5532914830e3c8:8:7bda7024187e,1,0,
